"dB"      "codedlen"      "PLR" using |A|=1000
-1    6400  0.124667
-1    6500  0.141667
-1    6600  0.105667
-1    6700  0.113
-1    6800  0.0976667
-1    6900  0.0956667
-1    7000  0.072
-1    7100  0.071
-1    7200  0.0643333
-1    7300  0.0366667
-1    7400  0.0596667
-1    7500  0.0403333
-1    7600  0.041
-1    7700  0.0293333
-1    7800  0.029
-1    7900  0.026
-1    8000  0.025
-1    8100  0.0203333
-1    8200  0.009
-1    8300  0.0143333
-1    8400  0.0146667
-1    8500  0.011
-1    8600  0.0116667
-1    8700  0.009
-1    8800  0.00866667
-1    8900  0.011
-1    9000  0.00966667
-1    9100  0.003
-1    9200  0.0106667
-1    9300  0.0126667
-1    9400  0.0123333
-1    9500  0.00766667
-1    9600  0.007
-1    9700  0.00566667
-1    9800  0.00166667
-1    9900  0.001
-0.5    1000  1
-0.5    1100  1
-0.5    1200  1
-0.5    1300  1
-0.5    1400  1
-0.5    1500  1
-0.5    1600  1
-0.5    1700  1
-0.5    1800  1
-0.5    1900  1
-0.5    2000  1
-0.5    2100  1
-0.5    2200  1
-0.5    2300  1
-0.5    2400  1
-0.5    2500  1
-0.5    2600  1
-0.5    2700  1
-0.5    2800  1
-0.5    2900  1
-0.5    3000  1
-0.5    3100  1
-0.5    3200  0.999667
-0.5    3300  1
-0.5    3400  0.999333
-0.5    3500  0.997333
-0.5    3600  0.992667
-0.5    3700  0.984667
-0.5    3800  0.977333
-0.5    3900  0.962333
-0.5    4000  0.935667
-0.5    4100  0.900333
-0.5    4200  0.872667
-0.5    4300  0.821667
-0.5    4400  0.750667
-0.5    4500  0.707333
-0.5    4600  0.642333
-0.5    4700  0.574
-0.5    4800  0.540667
-0.5    4900  0.487333
-0.5    5000  0.420333
-0.5    5100  0.368667
-0.5    5200  0.337
-0.5    5300  0.278667
-0.5    5400  0.249
-0.5    5500  0.199
-0.5    5600  0.175667
-0.5    5700  0.162
-0.5    5800  0.134
-0.5    5900  0.129667
-0.5    6000  0.122667
-0.5    6100  0.119667
-0.5    6200  0.0866667
-0.5    6300  0.0716667
-0.5    6400  0.0523333
-0.5    6500  0.058
-0.5    6600  0.0473333
-0.5    6700  0.0406667
-0.5    6800  0.0406667
-0.5    6900  0.033
-0.5    7000  0.027
-0.5    7100  0.023
-0.5    7200  0.0313333
-0.5    7300  0.0116667
-0.5    7400  0.0183333
-0.5    7500  0.015
-0.5    7600  0.0126667
-0.5    7700  0.00866667
-0.5    7800  0.0113333
-0.5    7900  0.00933333
-0.5    8000  0.007
-0.5    8100  0.01
-0.5    8200  0.00166667
-0.5    8300  0.005
-0.5    8400  0.00366667
-0.5    8500  0.00333333
-0.5    8600  0.00333333
-0.5    8700  0.00133333
-0.5    8800  0.002
-0.5    8900  0.003
-0.5    9000  0.00266667
-0.5    9100  0.00166667
-0.5    9200  0.00333333
-0.5    9300  0.005
-0.5    9400  0.00366667
-0.5    9500  0.002
-0.5    9600  0.00233333
-0.5    9700  0.002
-0.5    9800  0.001
0    1000  1
-0.5    9900  0.001
0    1100  1
0    1200  1
0    1300  1
0    1400  1
0    1500  1
0    1600  1
0    1700  1
0    1800  1
0    1900  1
0    2000  1
0    2100  1
0    2200  1
0    2300  1
0    2400  1
0    2500  1
0    2600  1
0    2700  1
0    2800  1
0    2900  1
0    3000  1
0    3100  0.998667
0    3200  0.996667
0    3300  0.994
0    3400  0.981667
0    3500  0.969
0    3600  0.943333
0    3700  0.908
0    3800  0.887
0    3900  0.820667
0    4000  0.764667
0    4100  0.714333
0    4200  0.652
0    4300  0.581
0    4400  0.483333
0    4500  0.451
0    4600  0.373667
0    4700  0.352333
0    4800  0.300333
0    4900  0.249667
0    5000  0.223
0    5100  0.212
0    5200  0.165667
0    5300  0.130333
0    5400  0.103
0    5500  0.08
0    5600  0.077
0    5700  0.0766667
0    5800  0.0613333
0    5900  0.052
0    6000  0.052
0    6100  0.059
0    6200  0.032
0    6300  0.033
0    6400  0.0193333
0    6500  0.0236667
0    6600  0.0176667
0    6700  0.0196667
0    6800  0.0176667
0    6900  0.00966667
0    7000  0.0113333
0    7100  0.00833333
0    7200  0.00666667
0    7300  0.00333333
0    7400  0.00566667
0    7500  0.00366667
0    7600  0.003
0    7700  0.00233333
0    7800  0.00233333
0    7900  0.004
0    8000  0.00233333
0    8100  0.00233333
0    8200  0.000666667
0    8300  0.002
0    8400  0.00166667
0    8500  0.00133333
0    8600  0.000333333
0    8700  0.000333333
0    8800  0.000333333
0    8900  0.00133333
0    9000  0.000333333
0    9100  0
0    9200  0.000666667
0    9300  0.000666667
0    9400  0.000666667
0    9500  0.001
0    9600  0.000666667
0    9700  0
0    9800  0
0.5    1000  1
0    9900  0
0.5    1100  1
0.5    1200  1
0.5    1300  1
0.5    1400  1
0.5    1500  1
0.5    1600  1
0.5    1700  1
0.5    1800  1
0.5    1900  1
0.5    2000  1
0.5    2100  1
0.5    2200  1
0.5    2300  1
0.5    2400  1
0.5    2500  1
0.5    2600  1
0.5    2700  1
0.5    2800  0.999667
0.5    2900  0.998667
0.5    3000  0.993
0.5    3100  0.984
0.5    3200  0.959
0.5    3300  0.933667
0.5    3400  0.904
0.5    3500  0.848667
0.5    3600  0.798
0.5    3700  0.726333
0.5    3800  0.664
0.5    3900  0.601667
0.5    4000  0.523
0.5    4100  0.453333
0.5    4200  0.387
0.5    4300  0.352333
0.5    4400  0.282
0.5    4500  0.252333
0.5    4600  0.191
0.5    4700  0.166333
0.5    4800  0.137
0.5    4900  0.133333
0.5    5000  0.105
0.5    5100  0.0906667
0.5    5200  0.0743333
0.5    5300  0.0553333
0.5    5400  0.048
0.5    5500  0.0316667
0.5    5600  0.0303333
0.5    5700  0.026
0.5    5800  0.0226667
0.5    5900  0.021
0.5    6000  0.016
0.5    6100  0.0183333
0.5    6200  0.015
0.5    6300  0.013
0.5    6400  0.00833333
0.5    6500  0.00766667
0.5    6600  0.007
0.5    6700  0.00466667
0.5    6800  0.00366667
0.5    6900  0.00533333
0.5    7000  0.00366667
0.5    7100  0.002
0.5    7200  0.00333333
0.5    7300  0.001
0.5    7400  0.00133333
0.5    7500  0.00233333
0.5    7600  0.00133333
0.5    7700  0.00133333
0.5    7800  0.001
0.5    7900  0.001
0.5    8000  0.001
0.5    8100  0.000333333
0.5    8200  0.000333333
0.5    8300  0.000333333
0.5    8400  0.001
0.5    8500  0.000333333
0.5    8600  0
0.5    8700  0.000333333
0.5    8800  0
0.5    8900  0.000333333
0.5    9000  0
0.5    9100  0
0.5    9200  0
0.5    9300  0
0.5    9400  0.000333333
0.5    9500  0.000333333
0.5    9600  0.000333333
0.5    9700  0
0.5    9800  0
1    1000  1
0.5    9900  0
1    1100  1
1    1200  1
1    1300  1
1    1400  1
1    1500  1
1    1600  1
1    1700  1
1    1800  1
1    1900  1
1    2000  1
1    2100  1
1    2200  1
1    2300  1
1    2400  1
1    2500  1
1    2600  1
1    2700  0.998
1    2800  0.995
1    2900  0.980333
1    3000  0.949667
1    3100  0.909
1    3200  0.835
1    3300  0.780667
1    3400  0.700667
1    3500  0.633333
1    3600  0.540667
1    3700  0.488
1    3800  0.408667
1    3900  0.360667
1    4000  0.310333
1    4100  0.251333
1    4200  0.205
1    4300  0.175333
1    4400  0.139
1    4500  0.12
1    4600  0.0876667
1    4700  0.0756667
1    4800  0.06
1    4900  0.053
1    5000  0.0413333
1    5100  0.0326667
1    5200  0.0253333
1    5300  0.0186667
1    5400  0.0186667
1    5500  0.0126667
1    5600  0.014
1    5700  0.0106667
1    5800  0.01
1    5900  0.00866667
1    6000  0.006
1    6100  0.00833333
1    6200  0.00266667
1    6300  0.00633333
1    6400  0.00233333
1    6500  0.003
1    6600  0.00166667
1    6700  0.00266667
1    6800  0.002
1    6900  0.00133333
1    7000  0.001
1    7100  0.000333333
1    7200  0.00133333
1    7300  0.000666667
1    7400  0.000666667
1    7500  0.001
1    7600  0.001
1    7700  0
1    7800  0
1    7900  0.000333333
1    8000  0.000666667
1    8100  0.000333333
1    8200  0.000333333
1    8300  0.000333333
1    8400  0
1    8500  0
1    8600  0
1    8700  0
1    8800  0
1    8900  0
1    9000  0
1    9100  0
1    9200  0
1    9300  0.000333333
1    9400  0.000333333
1    9500  0.000333333
1    9600  0
1    9700  0
1    9800  0
1.5    1000  1
1    9900  0
1.5    1100  1
1.5    1200  1
1.5    1300  1
1.5    1400  1
1.5    1500  1
1.5    1600  1
1.5    1700  1
1.5    1800  1
1.5    1900  1
1.5    2000  1
1.5    2100  1
1.5    2200  1
1.5    2300  1
1.5    2400  1
1.5    2500  0.998333
1.5    2600  0.994333
1.5    2700  0.983
1.5    2800  0.946333
1.5    2900  0.890333
1.5    3000  0.801667
